期数,号码1,号码2,号码3,号码4,号码5,号码6,号码7,生肖1,生肖2,生肖3,生肖4,生肖5,生肖6,生肖7
232,03,48,24,39,25,44,02,虎,蛇,蛇,虎,龙,鸡,兔
231,38,39,09,05,49,02,17,兔,虎,猴,鼠,龙,兔,鼠
230,45,48,05,33,43,25,49,猴,蛇,鼠,猴,狗,龙,龙
229,26,28,49,16,34,25,05,兔,牛,龙,牛,羊,龙,鼠
228,26,18,43,10,21,28,37,兔,猪,狗,羊,猴,牛,龙
227,13,17,29,34,48,28,20,龙,鼠,鼠,羊,蛇,牛,鸡
226,16,03,07,17,42,24,34,牛,虎,狗,鼠,猪,蛇,羊
225,36,12,39,28,43,40,05,蛇,蛇,虎,牛,狗,牛,鼠
224,43,05,10,19,30,16,22,狗,鼠,羊,狗,猪,牛,羊
223,45,23,24,33,15,18,30,猴,马,蛇,猴,虎,猪,猪
222,33,36,26,41,08,13,19,猴,蛇,兔,鼠,鸡,龙,狗
221,42,14,48,07,30,16,01,猪,兔,蛇,狗,猪,牛,龙
220,49,16,24,04,05,33,21,龙,牛,蛇,牛,鼠,猴,猴
219,47,05,40,12,42,09,14,马,鼠,牛,蛇,猪,猴,兔
218,12,27,07,13,03,20,37,蛇,虎,狗,龙,虎,鸡,龙
217,22,37,49,18,11,30,15,羊,龙,龙,猪,马,猪,虎
216,18,07,09,06,28,36,15,猪,狗,猴,猪,牛,蛇,虎
215,13,21,26,32,33,02,20,龙,猴,兔,鸡,猴,兔,鸡
214,32,48,18,27,44,36,06,鸡,蛇,猪,虎,鸡,蛇,猪
213,29,22,17,19,40,04,38,鼠,羊,鼠,狗,牛,牛,兔
212,44,13,32,40,22,17,49,鸡,龙,鸡,牛,羊,鼠,龙
211,32,45,09,27,12,43,20,鸡,猴,猴,虎,蛇,狗,鸡
210,33,25,24,07,14,26,19,猴,龙,蛇,狗,兔,兔,狗
209,21,46,05,29,39,12,33,猴,羊,鼠,鼠,虎,蛇,猴
208,42,28,03,11,05,13,04,猪,牛,虎,马,鼠,龙,牛
207,15,24,47,01,05,11,18,虎,蛇,马,龙,鼠,马,猪
206,26,11,43,31,36,16,14,兔,马,狗,狗,蛇,牛,兔
205,10,25,30,16,07,42,40,羊,龙,猪,牛,狗,猪,牛
204,27,30,03,34,31,04,05,虎,猪,虎,羊,狗,牛,鼠
203,11,31,12,20,09,48,45,马,狗,蛇,鸡,猴,蛇,猴
202,33,04,23,11,19,29,43,猴,牛,马,马,狗,鼠,狗
201,43,20,13,24,08,40,25,狗,鸡,龙,蛇,鸡,牛,龙
200,10,49,46,28,01,15,43,羊,龙,羊,牛,龙,虎,狗
199,20,04,35,36,45,08,15,鸡,牛,马,蛇,猴,鸡,虎
198,08,19,44,22,23,43,16,鸡,狗,鸡,羊,马,狗,牛
197,09,03,17,15,22,19,10,猴,虎,鼠,虎,羊,狗,羊
196,48,07,12,20,06,18,39,蛇,狗,蛇,鸡,猪,猪,虎
195,34,40,05,17,03,26,21,羊,牛,鼠,鼠,虎,兔,猴
194,08,46,15,14,06,32,05,鸡,羊,虎,兔,猪,鸡,鼠
193,35,32,39,49,26,01,04,马,鸡,虎,龙,兔,龙,牛
192,02,20,03,21,27,10,31,兔,鸡,虎,猴,虎,羊,狗
191,11,02,48,19,38,22,39,马,兔,蛇,狗,兔,羊,虎
190,38,15,12,03,16,34,41,兔,虎,蛇,虎,牛,羊,鼠
189,42,27,32,26,03,20,43,猪,虎,鸡,兔,虎,鸡,狗
188,32,07,33,29,08,40,46,鸡,狗,猴,鼠,鸡,牛,羊
187,22,27,02,33,11,19,39,羊,虎,兔,猴,马,狗,虎
186,42,15,38,23,17,43,29,猪,虎,兔,马,鼠,狗,鼠
185,38,44,06,12,26,25,42,兔,鸡,猪,蛇,兔,龙,猪
184,18,10,24,21,05,27,42,猪,羊,蛇,猴,鼠,虎,猪
183,33,49,15,26,02,11,25,猴,龙,虎,兔,兔,马,龙
182,09,20,15,30,10,05,27,猴,鸡,虎,猪,羊,鼠,虎
181,49,45,46,23,37,11,27,龙,猴,羊,马,龙,马,虎
180,47,28,49,01,39,11,02,马,牛,龙,龙,虎,马,兔
179,23,40,25,12,16,35,01,马,牛,龙,蛇,牛,马,龙
178,45,44,12,15,11,49,20,猴,鸡,蛇,虎,马,龙,鸡
177,49,12,17,48,05,36,11,龙,蛇,鼠,蛇,鼠,蛇,马
176,28,36,15,30,12,01,03,牛,蛇,虎,猪,蛇,龙,虎
175,30,04,13,14,06,16,40,猪,牛,龙,兔,猪,牛,牛
174,12,31,02,45,47,43,48,蛇,狗,兔,猴,马,狗,蛇
173,11,10,47,41,17,09,49,马,羊,马,鼠,鼠,猴,龙
172,10,20,07,30,29,05,32,羊,鸡,狗,猪,鼠,鼠,鸡
171,19,33,42,43,13,08,16,狗,猴,猪,狗,龙,鸡,牛
170,12,43,34,28,01,08,10,蛇,狗,羊,牛,龙,鸡,羊
169,22,03,15,09,16,40,45,羊,虎,虎,猴,牛,牛,猴
168,11,32,02,34,44,10,14,马,鸡,兔,羊,鸡,羊,兔
167,32,02,29,11,34,49,14,鸡,兔,鼠,马,羊,龙,兔
166,07,12,15,33,29,43,32,狗,蛇,虎,猴,鼠,狗,鸡
165,40,17,26,37,41,29,03,牛,鼠,兔,龙,鼠,鼠,虎
164,20,07,42,32,19,24,44,鸡,狗,猪,鸡,狗,蛇,鸡
163,20,31,25,42,27,01,40,鸡,狗,龙,猪,虎,龙,牛
162,11,25,06,44,05,13,01,马,龙,猪,鸡,鼠,龙,龙
161,20,23,19,41,47,11,35,鸡,马,狗,鼠,马,马,马
160,48,15,36,49,32,03,27,蛇,虎,蛇,龙,鸡,虎,虎
159,29,07,44,49,06,01,43,鼠,狗,鸡,龙,猪,龙,狗
158,47,12,06,27,42,05,20,马,蛇,猪,虎,猪,鼠,鸡
157,11,13,47,29,41,48,45,马,龙,马,鼠,鼠,蛇,猴
156,38,44,06,12,26,25,42,兔,鸡,猪,蛇,兔,龙,猪
155,40,29,23,47,07,32,44,牛,鼠,马,马,狗,鸡,鸡
154,14,08,34,28,36,26,46,兔,鸡,羊,牛,蛇,兔,羊
153,34,28,08,27,06,16,32,羊,牛,鸡,虎,猪,牛,鸡
152,16,35,18,30,15,40,21,牛,马,猪,猪,虎,牛,猴
151,12,41,09,05,44,26,48,蛇,鼠,猴,鼠,鸡,兔,蛇
150,24,16,45,27,40,15,33,蛇,牛,猴,虎,牛,虎,猴
149,12,32,45,46,01,06,22,蛇,鸡,猴,羊,龙,猪,羊
148,10,15,45,23,49,09,27,羊,虎,猴,马,龙,猴,虎
147,21,33,06,17,38,35,02,猴,猴,猪,鼠,兔,马,兔
146,03,15,08,28,38,40,43,虎,虎,鸡,牛,兔,牛,狗
145,45,29,27,23,11,38,02,猴,鼠,虎,马,马,兔,兔
144,10,09,02,17,28,05,16,羊,猴,兔,鼠,牛,鼠,牛
143,31,34,42,35,38,28,12,狗,羊,猪,马,兔,牛,蛇
142,05,02,23,35,31,22,27,鼠,兔,马,马,狗,羊,虎
141,23,05,19,06,28,46,43,马,鼠,狗,猪,牛,羊,狗
140,05,13,30,36,23,07,35,鼠,龙,猪,蛇,马,狗,马
139,26,43,10,12,25,46,14,兔,狗,羊,蛇,龙,羊,兔
138,06,20,18,26,19,05,14,猪,鸡,猪,兔,狗,鼠,兔
137,20,42,15,26,01,10,16,鸡,猪,虎,兔,龙,羊,牛
136,31,09,47,26,36,10,44,狗,猴,马,兔,蛇,羊,鸡
135,03,17,44,34,47,40,46,虎,鼠,鸡,羊,马,牛,羊
134,34,05,49,23,38,31,07,羊,鼠,龙,马,兔,狗,狗
133,08,09,14,03,23,04,19,鸡,猴,兔,虎,马,牛,狗
132,25,46,06,18,39,44,37,龙,羊,猪,猪,虎,鸡,龙
131,23,31,12,27,05,43,04,马,狗,蛇,虎,鼠,狗,牛
130,13,01,32,47,21,31,17,龙,龙,鸡,马,猴,狗,鼠
129,19,08,28,21,47,33,49,狗,鸡,牛,猴,马,猴,龙
128,05,24,12,45,14,25,02,鼠,蛇,蛇,猴,兔,龙,兔
127,19,41,45,30,34,15,48,狗,鼠,猴,猪,羊,虎,蛇
126,20,44,33,45,23,14,07,鸡,鸡,猴,猴,马,兔,狗
125,19,17,09,26,15,35,12,狗,鼠,猴,兔,虎,马,蛇
124,24,36,10,02,44,34,22,蛇,蛇,羊,兔,鸡,羊,羊
123,09,07,19,11,10,31,21,猴,狗,狗,马,羊,狗,猴
122,25,10,02,20,40,15,36,龙,羊,兔,鸡,牛,虎,蛇
121,15,24,08,43,33,47,02,虎,蛇,鸡,狗,猴,马,兔
120,21,10,05,32,25,22,29,猴,羊,鼠,鸡,龙,羊,鼠
119,09,16,20,02,27,40,32,猴,牛,鸡,兔,虎,牛,鸡
118,41,26,40,43,46,49,21,鼠,兔,牛,狗,羊,龙,猴
117,43,09,14,29,19,45,25,狗,猴,兔,鼠,狗,猴,龙
116,02,11,15,12,20,08,10,兔,马,虎,蛇,鸡,鸡,羊
115,23,46,10,44,20,33,29,马,羊,羊,鸡,鸡,猴,鼠
114,34,07,43,19,39,01,18,羊,狗,狗,狗,虎,龙,猪
113,39,37,48,49,05,19,24,虎,龙,蛇,龙,鼠,狗,蛇
112,35,44,48,29,45,36,43,马,鸡,蛇,鼠,猴,蛇,狗
111,18,01,40,16,37,34,43,猪,龙,牛,牛,龙,羊,狗
110,21,34,10,35,24,06,48,猴,羊,羊,马,蛇,猪,蛇
109,22,41,30,40,02,25,43,羊,鼠,猪,牛,兔,龙,狗
108,17,23,21,05,47,41,46,鼠,马,猴,鼠,马,鼠,羊
107,26,21,04,12,16,45,46,兔,猴,牛,蛇,牛,猴,羊
106,25,46,49,47,01,36,16,龙,羊,龙,马,龙,蛇,牛
105,19,07,14,10,30,16,49,狗,狗,兔,羊,猪,牛,龙
104,17,15,42,39,32,24,35,鼠,虎,猪,虎,鸡,蛇,马
103,36,19,33,09,20,03,05,蛇,狗,猴,猴,鸡,虎,鼠
102,36,41,18,08,07,10,19,蛇,鼠,猪,鸡,狗,羊,狗
101,29,07,45,06,26,27,21,鼠,狗,猴,猪,兔,虎,猴
100,05,38,35,32,24,06,17,鼠,兔,马,鸡,蛇,猪,鼠
099,02,18,11,26,23,44,28,兔,猪,马,兔,马,鸡,牛
098,25,15,43,21,06,31,46,龙,虎,狗,猴,猪,狗,羊
097,25,39,13,11,46,30,10,龙,虎,龙,马,羊,猪,羊
